order_id,chemical_ordered,supplier,quantity_ordered,cost_usd,order_date
92,Solvent A,Supplier X,1.99 kg,3089.28,2023-01-04 19:00:00
93,Catalyst C,Supplier X,4370.25,1845.21,04/01/2023
94,Catalyst C,Supplier A,2630.39,3857.67,
95,Solvent A,Supplier X,1547.18,3477.8,2023-01-04 22:00:00
96,Catalyst C,Supplier X,3632.36,497.81,04/01/2023
97,Buffer E,Supplier Z,3.16 kg,4228.73,2023-01-05 00:00:00
98,Solvent B,Supplier A,4018.01,938.16,2023-01-05 01:00:00
99,Solvent B,Supplier A,3253.58,911.84,
100,Solvent A,Supplier A,918.37,3682.05,"Jan 05, 2023"
101,Reactant D,Supplier X,3384.52,957.09,"Jan 05, 2023"
102,Solvent A,Supplier X,2018.59,655.86,05/01/2023
103,Reactant D,Supplier B,2369.4,1711.13,"Jan 05, 2023"
104,Solvent B,Supplier Y,4615.67,4201.63,05/01/2023
105,Solvent A,Supplier Y,1863.82,925.2,"Jan 05, 2023"
106,Buffer E,Supplier Y,3098.6,1728.41,
107,Catalyst C,Supplier Z,1881.06,unknown,05/01/2023
108,Reactant D,Supplier X,564.16,1812.5,"Jan 05, 2023"
109,Catalyst C,Supplier B,2322.27,3585.65,
110,Catalyst C,Supplier B,3025.6,2057.05,"Jan 05, 2023"
111,Solvent A,Supplier Y,2096.77,3809.9,2023-01-05 14:00:00
112,Catalyst C,Supplier Z,2.01 kg,3220.0,2023-01-05 15:00:00
113,Buffer E,Supplier Z,4119.85,1837.44,
114,Catalyst C,Supplier Y,245.46,2189.59,2023-01-05 17:00:00
115,Solvent A,Supplier Y,1548.37,3532.93,2023-01-05 18:00:00
116,Buffer E,Supplier X,4077.61,2697.04,05/01/2023
117,Solvent B,Supplier Z,4610.6,4348.28,"Jan 05, 2023"
118,Catalyst C,Supplier B,2120.27,4669.26,05/01/2023
119,Solvent A,Supplier Y,4.46 kg,3602.65,"Jan 05, 2023"
120,Solvent B,Supplier X,1074.76,4946.58,2023-01-05 23:00:00
121,Solvent B,Supplier B,1184.99,3002.86,06/01/2023
122,Reactant D,Supplier Z,4246.34,247.16,"Jan 06, 2023"
123,Buffer E,Supplier Y,4525.96,2549.02,"Jan 06, 2023"
124,Catalyst C,Supplier Y,1191.75,1188.55,06/01/2023
125,Solvent A,Supplier X,390.69,1701.88,
126,Reactant D,Supplier X,542.59,2475.85,"Jan 06, 2023"
127,Buffer E,Supplier Z,1380.77,1510.5,2023-01-06 06:00:00
128,Reactant D,Supplier Y,3831.1,1582.63,"Jan 06, 2023"
129,Buffer E,Supplier X,2598.96,2039.98,2023-01-06 08:00:00
130,Buffer E,Supplier Y,2332.39,1467.96,06/01/2023
131,Catalyst C,Supplier Z,2962.29,889.03,"Jan 06, 2023"
132,Buffer E,Supplier Y,4462.09,3839.52,2023-01-06 11:00:00
133,Reactant D,Supplier B,543.11,2006.3,2023-01-06 12:00:00
134,Buffer E,Supplier Y,3504.15,4167.2,06/01/2023
135,Catalyst C,Supplier A,4641.28,4419.45,"Jan 06, 2023"
136,Catalyst C,Supplier A,1145.42,3767.27,"Jan 06, 2023"
137,Reactant D,Supplier Z,4205.08,2013.53,06/01/2023
138,Solvent B,Supplier Z,3520.32,3620.54,"Jan 06, 2023"
139,Solvent B,Supplier Z,170.9,818.34,06/01/2023
140,Buffer E,Supplier B,1.23 kg,3322.52,"Jan 06, 2023"
141,Solvent A,Supplier B,3068.64,2059.86,
142,Buffer E,Supplier Y,2561.76,3295.44,"Jan 06, 2023"
143,Reactant D,Supplier X,2686.89,3786.21,2023-01-06 22:00:00
144,Reactant D,Supplier A,1236.46,2835.3,2023-01-06 23:00:00
145,Reactant D,Supplier A,3407.52,3230.27,
146,Reactant D,Supplier A,1405.45,1106.96,"Jan 07, 2023"
147,Reactant D,Supplier Y,2008.23,2983.86,2023-01-07 02:00:00
148,Catalyst C,Supplier Y,1.91 kg,2329.35,2023-01-07 03:00:00
149,Solvent B,Supplier Z,3392.92,2168.86,"Jan 07, 2023"
150,Reactant D,Supplier X,542.24,2081.06,07/01/2023
151,Solvent A,Supplier Z,1107.16,1589.07,"Jan 07, 2023"
152,Solvent A,Supplier Y,1082.44,1561.41,07/01/2023
153,Solvent A,Supplier B,631.28,3513.55,
154,Solvent A,Supplier Z,1117.22,2811.11,
155,Catalyst C,Supplier Y,3074.6,198.26,2023-01-07 10:00:00
156,Solvent A,Supplier Y,3687.62,290.2,2023-01-07 11:00:00
157,Reactant D,Supplier B,3335.49,,2023-01-07 12:00:00
158,Buffer E,Supplier B,2428.42,4239.1,07/01/2023
159,Solvent A,Supplier B,356.93,267.69,2023-01-07 14:00:00
160,Catalyst C,Supplier X,4799.13,2560.67,"Jan 07, 2023"
161,Catalyst C,Supplier Y,923.57,4263.12,07/01/2023
162,Solvent A,Supplier B,3375.26,72.02,
163,Buffer E,Supplier X,4573.16,1415.18,07/01/2023
164,Solvent A,Supplier A,3519.11,4603.61,2023-01-07 19:00:00
165,Catalyst C,Supplier A,1168.44,453.27,"Jan 07, 2023"
166,Solvent B,Supplier A,1647.4,3054.63,"Jan 07, 2023"
167,Reactant D,Supplier Y,248.01,2561.54,2023-01-07 22:00:00
168,Catalyst C,Supplier X,3102.52,800.81,"Jan 07, 2023"
169,Solvent A,Supplier X,3103.67,260.31,08/01/2023
170,Reactant D,Supplier A,3.65 kg,2537.81,08/01/2023
171,Solvent A,Supplier Z,153.88,3688.89,2023-01-08 02:00:00
172,Solvent A,Supplier A,4107.42,927.35,"Jan 08, 2023"
173,Solvent B,Supplier Y,3719.68,3472.03,
174,Reactant D,Supplier A,790.34,2754.6,08/01/2023
175,Reactant D,Supplier A,1803.37,1821.34,08/01/2023
176,Solvent B,Supplier X,3228.77,3338.93,08/01/2023
177,Catalyst C,Supplier A,2529.4,1000.29,08/01/2023
178,Solvent A,Supplier B,663.96,2311.81,
179,Buffer E,Supplier B,527.99,2769.06,2023-01-08 10:00:00
180,Solvent A,Supplier Z,3929.14,2320.54,08/01/2023
181,Solvent A,Supplier Y,0.86 kg,2017.63,"Jan 08, 2023"
182,Catalyst C,Supplier Y,943.25,3717.52,
183,Solvent A,Supplier X,4171.52,3297.7,08/01/2023
184,Solvent B,Supplier Y,3099.48,3215.34,"Jan 08, 2023"
185,Solvent B,Supplier Z,3063.11,4464.41,08/01/2023
186,Reactant D,Supplier B,2448.79,4967.83,2023-01-08 17:00:00
187,Buffer E,Supplier X,2.89 kg,2857.66,
188,Solvent A,Supplier B,3048.67,1773.93,2023-01-08 19:00:00
189,Solvent A,Supplier Z,,3905.43,
190,Catalyst C,Supplier X,1192.57,753.39,08/01/2023
191,Solvent B,Supplier A,1151.36,2588.9,08/01/2023
192,Buffer E,Supplier Y,380.37,2646.32,
193,Reactant D,Supplier Z,3.33 kg,4918.17,"Jan 09, 2023"
194,Solvent B,Supplier X,,4955.48,"Jan 09, 2023"
195,Reactant D,Supplier B,645.07,4006.11,09/01/2023
196,Catalyst C,Supplier X,1886.24,2391.43,09/01/2023
197,Catalyst C,Supplier A,975.45,2758.77,2023-01-09 04:00:00
198,Solvent A,Supplier Z,1.72 kg,1632.72,09/01/2023
199,Buffer E,Supplier X,4761.19,4157.74,
200,Reactant D,Supplier Z,3448.26,3745.4,"Jan 09, 2023"
201,Solvent B,Supplier Z,137.09,3868.56,"Jan 09, 2023"
202,Catalyst C,Supplier B,1.34 kg,736.45,2023-01-09 09:00:00
203,Solvent A,Supplier Y,150.77,2023.24,"Jan 09, 2023"
204,Solvent A,Supplier A,3602.86,2709.89,"Jan 09, 2023"
205,Reactant D,Supplier X,2400.17,667.06,
206,Catalyst C,Supplier Y,4970.69,1874.68,"Jan 09, 2023"
207,Buffer E,Supplier B,3694.56,482.79,2023-01-09 14:00:00
208,Catalyst C,Supplier Y,2637.77,4796.26,2023-01-09 15:00:00
209,Reactant D,Supplier Z,4043.06,3768.75,"Jan 09, 2023"
210,Reactant D,Supplier Z,3.55 kg,3122.7,09/01/2023
211,Catalyst C,Supplier A,1294.5,1064.04,"Jan 09, 2023"
212,Reactant D,Supplier X,2698.27,1703.93,2023-01-09 19:00:00
213,Catalyst C,Supplier X,2824.39,-50,2023-01-09 20:00:00
214,Solvent B,Supplier B,2311.04,2703.79,
215,Catalyst C,Supplier A,978.04,4111.55,"Jan 09, 2023"
216,Catalyst C,Supplier X,1194.51,144.23,"Jan 09, 2023"
217,Reactant D,Supplier Z,1477.13,561.38,
218,Reactant D,Supplier A,150.25,1185.28,2023-01-10 01:00:00
219,Solvent A,Supplier Y,4.59 kg,3584.63,
220,Solvent A,Supplier A,3461.87,4475.2,10/01/2023
221,Solvent B,Supplier A,3.48 kg,3777.41,"Jan 10, 2023"
222,Solvent A,Supplier X,2904.42,2648.49,2023-01-10 05:00:00
223,Catalyst C,Supplier B,3477.62,570.31,
224,Reactant D,Supplier B,4.91 kg,3786.83,2023-01-10 07:00:00
225,Solvent A,Supplier X,1987.29,572.92,10/01/2023
226,Solvent A,Supplier X,3591.38,1771.06,"Jan 10, 2023"
227,Solvent B,Supplier X,1861.69,1574.56,
228,Solvent B,Supplier B,4.29 kg,1828.16,2023-01-10 11:00:00
229,Catalyst C,Supplier X,4304.34,1681.17,"Jan 10, 2023"
230,Reactant D,Supplier Y,4521.11,3857.44,"Jan 10, 2023"
231,Solvent B,Supplier Y,126.77,900.03,2023-01-10 14:00:00
232,Solvent A,Supplier Z,1.56 kg,4236.94,"Jan 10, 2023"
233,Reactant D,Supplier Y,756.23,4298.39,"Jan 10, 2023"
234,Reactant D,Supplier A,2324.53,2480.08,
235,Solvent A,Supplier Z,2527.7,575.44,"Jan 10, 2023"
236,Solvent B,Supplier Y,1353.93,2898.27,
237,Solvent A,Supplier A,3644.89,4113.61,"Jan 10, 2023"
238,Reactant D,Supplier Y,1421.87,1482.89,10/01/2023
239,Buffer E,Supplier A,4284.07,4196.85,10/01/2023
240,Buffer E,Supplier X,970.53,3400.75,
241,Catalyst C,Supplier A,1899.45,4936.87,
242,Solvent A,Supplier X,3148.97,4132.32,11/01/2023
243,Solvent A,Supplier A,3.07 kg,1047.43,"Jan 11, 2023"
244,Catalyst C,Supplier A,482.34,2272.57,
245,Catalyst C,Supplier Y,4246.67,562.37,2023-01-11 04:00:00
246,Catalyst C,Supplier A,3030.52,394.87,"Jan 11, 2023"
247,Reactant D,Supplier Y,4362.31,3544.97,"Jan 11, 2023"
248,Solvent A,Supplier A,4351.41,4569.01,11/01/2023
249,Reactant D,Supplier B,2775.0,4869.2,
250,Catalyst C,Supplier Z,4562.83,1388.81,"Jan 11, 2023"
251,Solvent A,Supplier Y,4257.2,1048.77,
252,Reactant D,Supplier Y,4.79 kg,2823.09,
253,Reactant D,Supplier X,4267.44,1044.26,
254,Catalyst C,Supplier B,4123.9,,11/01/2023
255,Solvent A,Supplier X,2399.87,4194.27,
256,Catalyst C,Supplier B,1138.95,4061.79,11/01/2023
257,Solvent A,Supplier B,4562.47,4480.61,2023-01-11 16:00:00
258,Buffer E,Supplier A,3640.49,2437.11,"Jan 11, 2023"
259,Solvent B,Supplier X,1480.56,2842.22,"Jan 11, 2023"
260,Solvent B,Supplier Z,1770.88,3864.42,2023-01-11 19:00:00
261,Solvent B,Supplier B,3461.78,1234.36,11/01/2023
262,Catalyst C,Supplier B,2441.3,4124.31,"Jan 11, 2023"
263,Buffer E,Supplier Y,499.26,136.91,11/01/2023
264,Solvent A,Supplier A,793.09,3998.42,11/01/2023
265,Reactant D,Supplier Z,3753.68,3890.74,12/01/2023
266,Solvent A,Supplier B,1709.99,1543.81,2023-01-12 01:00:00
267,Reactant D,Supplier Y,2587.48,3653.17,2023-01-12 02:00:00
268,Solvent A,Supplier X,3856.45,1109.27,12/01/2023
269,Buffer E,Supplier B,3780.76,2902.35,
270,Reactant D,Supplier Y,918.37,3517.9,2023-01-12 05:00:00
271,Catalyst C,Supplier X,582.13,3587.76,
272,Solvent A,Supplier A,2996.65,4915.53,
273,Solvent A,Supplier X,3734.0,,12/01/2023
274,Reactant D,Supplier B,830.3,2429.95,
275,Catalyst C,Supplier Z,1922.58,4406.52,
276,Catalyst C,Supplier X,4364.36,2829.49,
277,Buffer E,Supplier Z,4726.69,4388.13,12/01/2023
278,Catalyst C,Supplier Z,2324.94,2198.59,12/01/2023
279,Catalyst C,Supplier X,489.63,3986.99,2023-01-12 14:00:00
280,Catalyst C,Supplier A,1362.71,4356.74,2023-01-12 15:00:00
281,Solvent B,Supplier X,1241.55,4239.87,
282,Buffer E,Supplier Y,1270.92,4363.26,12/01/2023
283,Solvent A,Supplier Z,2520.02,1136.8,12/01/2023
284,Reactant D,Supplier B,2957.81,2222.97,
285,Solvent A,Supplier Z,700.3,914.13,2023-01-12 20:00:00
286,Buffer E,Supplier B,4457.84,943.68,12/01/2023
287,Reactant D,Supplier Y,3137.87,2464.75,2023-01-12 22:00:00
288,Buffer E,Supplier Y,3026.53,4802.43,
289,Catalyst C,Supplier Y,4937.67,2979.96,13/01/2023
290,Reactant D,Supplier X,3177.91,4276.53,
291,Catalyst C,Supplier Z,4651.9,4689.06,"Jan 13, 2023"
292,Solvent A,Supplier B,1502.66,478.55,
293,Solvent A,Supplier Y,1.28 kg,852.22,
294,Reactant D,Supplier Y,2630.94,1489.67,
295,Reactant D,Supplier B,2592.18,3103.05,13/01/2023
296,Buffer E,Supplier Z,1209.77,355.56,
297,Buffer E,Supplier Z,3528.31,3943.94,
298,Catalyst C,Supplier B,245.21,365.75,"Jan 13, 2023"
299,Reactant D,Supplier A,3484.09,834.24,13/01/2023
300,Solvent A,Supplier Z,2340.17,1939.45,"Jan 13, 2023"
301,Buffer E,Supplier B,3.48 kg,2810.71,
302,Buffer E,Supplier B,2437.7,4413.45,13/01/2023
303,Solvent A,Supplier Y,4888.94,4820.46,"Jan 13, 2023"
304,Buffer E,Supplier B,1739.96,4428.98,
305,Catalyst C,Supplier X,4.91 kg,579.87,2023-01-13 16:00:00
306,Reactant D,Supplier Y,418.37,3174.59,"Jan 13, 2023"
307,Solvent A,Supplier Y,3450.43,2236.49,13/01/2023
308,Reactant D,Supplier Z,2325.67,672.67,"Jan 13, 2023"
309,Buffer E,Supplier A,4128.47,,"Jan 13, 2023"
310,Buffer E,Supplier Z,3969.12,1815.46,"Jan 13, 2023"
311,Solvent A,Supplier X,4021.03,1761.65,2023-01-13 22:00:00
312,Catalyst C,Supplier Y,564.22,517.5,13/01/2023
313,Solvent B,Supplier Y,4129.59,4895.32,14/01/2023
314,Solvent A,Supplier B,1148.8,3643.5,14/01/2023
315,Solvent B,Supplier A,0.23 kg,1437.65,
316,Solvent B,Supplier A,1166.92,4591.5,14/01/2023
317,Catalyst C,Supplier B,2448.5,4743.03,14/01/2023
318,Solvent B,Supplier X,3.74 kg,4061.36,2023-01-14 05:00:00
319,Solvent B,Supplier A,1171.3,3313.61,
320,Catalyst C,Supplier Y,653.74,1913.06,
321,Solvent B,Supplier X,3265.24,2200.02,"Jan 14, 2023"
322,Solvent B,Supplier Z,4921.1,2302.31,
323,Solvent B,Supplier Z,3044.26,4746.38,
324,Solvent A,Supplier X,3486.18,3812.67,2023-01-14 11:00:00
325,Solvent A,Supplier Y,2849.72,1495.47,14/01/2023
326,Solvent A,Supplier Z,3.93 kg,3141.97,
327,Catalyst C,Supplier Y,4881.44,2989.81,
328,Buffer E,Supplier B,2766.23,4070.03,2023-01-14 15:00:00
329,Solvent B,Supplier A,2.14 kg,521.78,
330,Solvent B,Supplier X,4315.68,3521.29,
331,Catalyst C,Supplier A,4851.67,1689.29,2023-01-14 18:00:00
332,Solvent B,Supplier B,732.99,691.68,"Jan 14, 2023"
333,Solvent A,Supplier Z,2933.04,3672.28,"Jan 14, 2023"
334,Buffer E,Supplier Y,3983.05,1691.65,
335,Reactant D,Supplier Y,2713.36,3664.11,
336,Solvent B,Supplier B,2105.07,854.06,14/01/2023
337,Solvent A,Supplier X,3310.63,4930.34,
338,Reactant D,Supplier A,1423.63,4026.87,15/01/2023
339,Buffer E,Supplier Z,1810.76,1481.3,"Jan 15, 2023"
340,Reactant D,Supplier X,4962.16,3715.6,
341,Solvent A,Supplier B,3218.68,722.21,
342,Reactant D,Supplier B,4377.34,3284.52,2023-01-15 05:00:00
343,Catalyst C,Supplier Y,4058.07,345.2,
344,Reactant D,Supplier Z,3296.14,1700.27,"Jan 15, 2023"
345,Solvent B,Supplier X,4219.57,4893.39,
346,Solvent B,Supplier Y,1507.08,648.56,15/01/2023
347,Catalyst C,Supplier Z,3221.87,3007.25,
348,Solvent A,Supplier A,2993.96,399.5,15/01/2023
349,Solvent B,Supplier A,3.15 kg,3363.54,2023-01-15 12:00:00
350,Buffer E,Supplier Y,926.3,1429.38,
351,Solvent B,Supplier X,1458.49,1584.38,2023-01-15 14:00:00
352,Solvent B,Supplier Z,1504.63,1722.12,2023-01-15 15:00:00
353,Solvent A,Supplier A,3049.54,1065.53,
354,Reactant D,Supplier A,4865.48,4711.2,15/01/2023
355,Solvent B,Supplier X,4774.93,4533.87,
356,Catalyst C,Supplier Y,1213.23,4356.58,15/01/2023
357,Reactant D,Supplier B,1593.74,576.91,2023-01-15 20:00:00
358,Buffer E,Supplier Z,276.7,1205.55,"Jan 15, 2023"
359,Solvent A,Supplier A,2054.2,3080.52,
360,Buffer E,Supplier B,4189.9,4853.34,"Jan 15, 2023"
361,Reactant D,Supplier X,4587.18,3043.85,16/01/2023
362,Reactant D,Supplier Y,1258.83,1669.15,
363,Reactant D,Supplier Z,1402.39,4096.15,"Jan 16, 2023"
364,Buffer E,Supplier X,1182.16,720.38,"Jan 16, 2023"
365,Reactant D,Supplier Y,1815.51,4414.62,
366,Buffer E,Supplier X,4043.32,4874.65,"Jan 16, 2023"
367,Reactant D,Supplier A,3269.6,4839.88,
368,Catalyst C,Supplier A,3951.11,781.1,"Jan 16, 2023"
369,Reactant D,Supplier B,2956.85,2770.56,2023-01-16 08:00:00
370,Buffer E,Supplier X,1362.89,2945.35,
371,Solvent B,Supplier A,1217.17,1014.85,2023-01-16 10:00:00
372,Reactant D,Supplier Y,144.1,2756.55,2023-01-16 11:00:00
373,Solvent B,Supplier B,3926.81,3250.36,"Jan 16, 2023"
374,Catalyst C,Supplier Z,4250.89,1678.36,16/01/2023
375,Solvent A,Supplier X,3864.58,1612.62,2023-01-16 14:00:00
376,Catalyst C,Supplier A,464.57,348.18,2023-01-16 15:00:00
377,Reactant D,Supplier Y,3834.89,unknown,2023-01-16 16:00:00
378,Solvent B,Supplier X,324.26,4027.9,16/01/2023
379,Solvent B,Supplier Y,617.41,3809.27,16/01/2023
380,Buffer E,Supplier B,2258.33,157.81,2023-01-16 19:00:00
381,Solvent B,Supplier A,2433.12,3140.33,16/01/2023
382,Buffer E,Supplier A,4.1 kg,944.11,16/01/2023
383,Solvent A,Supplier B,3429.68,3325.5,16/01/2023
384,Reactant D,Supplier Y,851.27,3124.72,
385,Buffer E,Supplier X,1208.12,4267.03,2023-01-17 00:00:00
386,Solvent A,Supplier Y,1499.81,1314.4,17/01/2023
387,Solvent B,Supplier X,706.0,185.94,
388,Solvent B,Supplier B,1509.46,4574.85,"Jan 17, 2023"
389,Solvent A,Supplier Z,3670.13,4547.75,"Jan 17, 2023"
390,Solvent B,Supplier X,1282.87,2306.5,17/01/2023
391,Solvent A,Supplier A,4193.26,436.54,2023-01-17 06:00:00
392,Buffer E,Supplier A,,2514.95,17/01/2023
393,Buffer E,Supplier A,1682.39,2643.87,"Jan 17, 2023"
394,Solvent A,Supplier Y,2120.85,4117.54,2023-01-17 09:00:00
395,Buffer E,Supplier Y,3576.53,3599.65,2023-01-17 10:00:00
396,Buffer E,Supplier Y,2632.28,400.48,"Jan 17, 2023"
397,Buffer E,Supplier A,135.67,3541.42,
398,Catalyst C,Supplier X,4619.39,721.91,
399,Reactant D,Supplier A,423.38,492.89,17/01/2023
400,Solvent B,Supplier X,4699.24,2023.11,2023-01-17 15:00:00
401,Catalyst C,Supplier Y,237.95,432.95,17/01/2023
402,Buffer E,Supplier Z,3877.8,4154.88,2023-01-17 17:00:00
403,Solvent A,Supplier Y,2719.91,2342.49,"Jan 17, 2023"
404,Buffer E,Supplier B,2.58 kg,2955.67,2023-01-17 19:00:00
405,Reactant D,Supplier X,456.61,2905.48,2023-01-17 20:00:00
406,Buffer E,Supplier Z,1269.85,4891.64,"Jan 17, 2023"
407,Solvent A,Supplier Y,3909.98,4583.12,
408,Reactant D,Supplier Z,4467.17,4253.18,"Jan 17, 2023"
409,Buffer E,Supplier A,2692.68,1947.18,2023-01-18 00:00:00
410,Reactant D,Supplier X,1831.38,768.24,"Jan 18, 2023"
411,Solvent B,Supplier B,393.72,2979.74,2023-01-18 02:00:00
412,Solvent B,Supplier A,3442.67,2229.56,
413,Buffer E,Supplier Z,1464.39,1166.36,
414,Reactant D,Supplier Y,0.37 kg,533.58,2023-01-18 05:00:00
415,Solvent A,Supplier X,3362.67,2208.66,
416,Buffer E,Supplier B,2480.03,3271.8,"Jan 18, 2023"
417,Solvent B,Supplier Y,158.61,3145.68,
418,Solvent B,Supplier B,,3880.91,18/01/2023
419,Buffer E,Supplier X,3526.09,2359.45,
420,Reactant D,Supplier Z,411.99,1642.12,18/01/2023
421,Solvent B,Supplier B,4343.22,2716.57,"Jan 18, 2023"
422,Reactant D,Supplier X,1625.5,4876.28,
423,Solvent B,Supplier B,534.47,273.2,
424,Solvent B,Supplier Y,,2666.9,
425,Catalyst C,Supplier B,2669.69,1679.86,"Jan 18, 2023"
426,Solvent B,Supplier Y,1602.54,571.48,"Jan 18, 2023"
427,Solvent A,Supplier Y,2089.88,2201.62,18/01/2023
428,Buffer E,Supplier X,204.92,3223.76,2023-01-18 19:00:00
429,Buffer E,Supplier A,3347.22,2664.42,"Jan 18, 2023"
430,Reactant D,Supplier B,1892.29,194.42,
431,Solvent B,Supplier Z,3.6 kg,2916.63,18/01/2023
